No,Name,Level,Form,Effect,Image,Book,,,,,,,,,,,,,,,,,,,
71,Cypher seed,1d6,Usable: Tiny metal and synth chip,"If affixed to another cypher that is a handheld device, it infuses that cypher with additional circuitry like roots from a plant. In 28 hours, it transforms the cypher into an artifact. The GM determines whether the new artifact retains the same ability (but now with potentially multiple uses) or whether it becomes a different artifact of the handheld-device variety.",no,SATC,,,,,,,,,,,,,,,,,,,
72,Data flood,1d6+2,"Internal: Pill, ingestible liquid
Wearable: Dermal patch that must be worn and tapped to be activated","Activating the cypher enables the user to connect her mind to the datasphere for one hour. Until the connection is broken, the difficulty is reduced by one step for her Intellect defense rolls and Intellect tasks to identify objects, creatures, and places.",no,SATC,,,,,,,,,,,,,,,,,,,
73,Data merge,10,"Internal: Pill, ingestible liquid
Wearable: Temporary tattoo, amulet, headband, crystal worn on temple
Usable: Small handheld device, crystal","The user uploads his mind into the datasphere, where it becomes a being of pure thought. His body becomes catatonic and remains that way until he downloads his consciousness back into his body. If his body dies, he becomes trapped in the datasphere and is forever lost.
While the user is merged with the datasphere, the difficulty of his Intellect rolls is reduced by two steps.
In addition, the user can project a solid light hologram anywhere he chooses in the world. The hologram acts as a level 5 creature under the user’s control. He can perceive and communicate through the hologram and decide how it acts and moves. If the hologram is reduced to 0 health, the user must wait at least one hour before he can create a new one.",no,SATC,,,,,,,,,,,,,,,,,,,
74,Data mine,1d6,"Usable: Small disk that attaches to forehead, electronic bracelet, thick collar, stretchy gloves","Allows the user to tap into the mind of anyone in visual range and steal the target’s knowledge of a skill that it is trained in. The user becomes trained in that skill for one hour. During that time, the target loses its own training in that skill.",c74,SATC,,,,,,,,,,,,,,,,,,,
75,Data spike,1d6,Internal: Tiny spike,"A user activates the device by inserting it or having another character insert it into the base of his neck, angled upward so that it enters the brain stem. Installing the spike and removing it at a later time inflicts 1 point of damage that ignores Armor. A user can benefit from only one data spike at a time.
Once the spike is installed, the user immediately connects to the datasphere and downloads information about a randomly determined skill into his mind. He becomes trained in that skill for a number of hours equal to the cypher level. If he is already trained in the skill, he instead becomes specialized.
When a data spike is found, the GM can choose a skill or roll a d20 to determine the skill(s) randomly:
1 Astronomy
2 Balancing
3 Biology and botany
4 Climbing and swimming
5 Deceiving
6 Escaping and lockpicking
7 Geography and geology
8 Healing
9 History
10 Identifying
11 Intimidation
12 Leatherworking, metalworking, and woodworking
13 Numenera
14 Perception
15 Persuasion
16 Philosophy
17 Pickpocketing
18 Repairing
19 Riding
20 GM's choice",no,SATC,,,,,,,,,,,,,,,,,,,
76,Data vault,1d6+2,Usable: Hourglass-shaped synth device with a ring around the center,"The device scans one object (chosen by the user) that can fit inside a 10-foot (3 m) cube and is within a short distance. The object then dissolves, its substance drawn into the device. Activating the device again causes it to create an identical copy of the object using solidified light at an open spot within a short distance.",no,SATC,,,,,,,,,,,,,,,,,,,
77,Datasphere siphon,1d6,"Internal: Pill, ingestible liquid 
Wearable: Temporary tattoo, amulet, headband, crystal worn on temple 
Usable: Small handheld device, crystal","Tapping into the datasphere’s knowledge, the user can learn the answer to one question (two questions if the cypher is level 4 or higher, three questions if the cypher is level 6 or higher).",no,DISC,,,,,,,,,,,,,,,,,,,
78,Deadly mist,1d6+2,"Wearable: Wrist-mounted sprayer
Usable: Canister with a short hose","This cypher sprays a mist of exotic fluid at one or more targets within immediate range (potentially all targets in range, if the user desires). The mist condenses on the targets and gathers into a thick liquid that begins to form hard, razor-sharp edges, needles, spikes, and barbs that inflict damage equal to the cypher level. Affected targets suffer half the damage on the next round as well before the fluid turns back into mist and evaporates.",no,SATC,,,,,,,,,,,,,,,,,,,
79,Death messenger,1d6+2,Usable: A pair of metal or organic wings on a frame that can be attached to any detonation cypher,"To activate the device, the user places a bit of skin, hair, nail, or some other material from a living creature inside a compartment positioned between the wings. The wings begin to flap, causing the device to lift into the air and fly off toward the creature whose materials were used to activate it. The device uses the datasphere to locate the creature and speeds off toward it by the shortest and fastest available route. The device flies about 30 mph (48 kph) and maneuvers around obstacles. If blocked by a solid object, it goes out of phase, along with the cypher it carries, and moves through the object until it emerges into an open space. The device activates its detonation cypher when it reaches the target or after 28 hours, whichever comes first.",no,SATC,,,,,,,,,,,,,,,,,,,
80,Deficiency detector,1d6,"Usable: Two small disks. One attaches to the user. The other, when thrown, seeks out and attaches to the nearest living creature in long range.","When the disk hits its target and attaches, it relays information about the target's weakness to the user. This information decreases the difficulty of the user's next interaction with the target by one step. If the user relays the weakness to others, the difficulty of their next interaction with the target is also decreased by one step.",no,SATC,,,,,,,,,,,,,,,,,,,
81,Demonsphere,1d6+4,Usable: A 6-inch (15 cm) orb of steel lattice with a reflective red sphere in the center,"This is a dangerous cypher to use, perhaps giving rise to its name. When activated, it creates a horrific sound, a combination of shrill shrieks and low rumbling (which also might account for its name). At the same time, red streaks of energy lance out at a number of intelligent targets within short range equal to the cypher level. If there are more targets than streaks of energy, the targets are determined randomly, meaning that the user could be a target.
The streaks of energy are extradimensional conduits tying the targets to an ultraterrestrial intelligence with a level equal to the cypher level. The intelligence attempts to control the targets’ actions for one round per cypher level. (Eligible targets include machine intelligences or any living creature more substantial than an insect.) The ultraterrestrial intelligence has a motive and understanding all its own, but it is utterly alien. Thus, it can do almost anything, but if desired, roll d100 each round instead:
01–10 Scream
11–20 Make incomprehensible gestures
21–40 Attack the nearest creature
41–55 Attack the nearest object
56 60 Attack the ground
61–65 Activate the nearest numenera device
66–75 Run off as fast as possible
76–80 Begin speaking in an unknown language
81–83 Speak in the Truth and ask strange, random questions
84–85 Speak in the Truth and demand obedience
86–88 Examine a random object
89–90 Try to eat a random creature or object
91–93 Access unknown energies and teleport away
94–95 Access unknown energies and create a force field around itself
96–97 Access unknown energies and use them to attack all nearby
98–00 Access unknown energies and open a transdimensional portal",c81,SATC,,,,,,,,,,,,,,,,,,,
82,Density nodule,1d6,Usable: Crystal nodule affixed to a melee weapon,"For the next 28 hours, each time the weapon the nodule is attached to strikes a solid creature or object, the weapon suddenly increases dramatically in weight, causing the blow to inflict an additional 2 points of damage (3 points if the cypher is level 4 or higher).",no,DISC,,,,,,,,,,,,,,,,,,,
